rank,category,slug,title,english_source,romanian_source
1,frameworks,geo-vs-aeo,GEO vs AEO vs SEO: What Actually Changes in AI Search?,https://niculae.info/blog/geo-vs-aeo/,https://niculae.info/ro/blog/geo-vs-aeo/
2,frameworks,seo-geo-implementation-framework,SEO + GEO Implementation Framework: One Operating System for Search and AI Visibility,https://niculae.info/blog/seo-geo-implementation-framework/,https://niculae.info/ro/blog/seo-geo-implementation-framework/
3,frameworks,ai-seo-vs-traditional-seo,AI SEO vs Traditional SEO: What Changes and What Does Not,https://niculae.info/blog/ai-seo-vs-traditional-seo/,https://niculae.info/ro/blog/ai-seo-vs-traditional-seo/
4,frameworks,information-gain-seo,Information Gain in SEO: A Practical Test for Non-Commodity Content,https://niculae.info/blog/information-gain-seo/,https://niculae.info/ro/blog/information-gain-seo/
5,entity-seo,entity-seo-practical-guide,"Entity SEO: A Practical Guide to Identity, Consistency and Search Representation",https://niculae.info/blog/entity-seo-practical-guide/,https://niculae.info/ro/blog/entity-seo-practical-guide/
6,chatgpt-search,chatgpt-search-citations,ChatGPT Search Citations: How to Make Owned Content Easier to Verify,https://niculae.info/blog/chatgpt-search-citations/,https://niculae.info/ro/blog/chatgpt-search-citations/
7,chatgpt-search,chatgpt-brand-mentions,ChatGPT Brand Mentions: Separating Entity Visibility from Source Attribution,https://niculae.info/blog/chatgpt-brand-mentions/,https://niculae.info/ro/blog/chatgpt-brand-mentions/
8,chatgpt-search,chatgpt-referral-traffic,"ChatGPT Referral Traffic: Attribution, Landing Pages and Conversion Quality",https://niculae.info/blog/chatgpt-referral-traffic/,https://niculae.info/ro/blog/chatgpt-referral-traffic/
9,chatgpt-search,robots-txt-chatgpt-search,Robots.txt for ChatGPT Search: Access Rules without Accidental Discovery Loss,https://niculae.info/blog/robots-txt-chatgpt-search/,https://niculae.info/ro/blog/robots-txt-chatgpt-search/
10,chatgpt-search,chatgpt-source-verification,Source Verification for ChatGPT Search: Building Pages That Survive Fact Checking,https://niculae.info/blog/chatgpt-source-verification/,https://niculae.info/ro/blog/chatgpt-source-verification/
